Agency,Deaths.2016,Deaths.2017,Deaths.2018,Deaths.2019,Deaths.2020,Deaths.2021,Deaths.2022,Deaths.2023,Deaths.2024,Population.2016,Population.2017,Population.2018,Population.2019,Population.2020,Population.2021,Population.2022,Population.2023,Population.2024,Crude.Rate.2016,Crude.Rate.2017,Crude.Rate.2018,Crude.Rate.2019,Crude.Rate.2020,Crude.Rate.2021,Crude.Rate.2022,Crude.Rate.2023,Crude.Rate.2024,SMR.2019,SMR.2020,SMR.2021,SMR.2022,SMR.2023,SMR.2024
North Carolina,NA,NA,NA,119,141,118,114,136,NA,NA,NA,NA,34706,32161,29318,30073,31197,31972,NA,NA,NA,34.288019362646224,43.84192033829793,40.248311617436386,37.907757789379176,43.59393531429304,NA,NA,NA,NA,NA,NA,NA
North Dakota,NA,NA,NA,1,7,4,1,NA,NA,NA,NA,NA,1744,1355,1564,1726,1851,1929,NA,NA,NA,5.73394495412844,51.66051660516605,25.575447570332482,5.793742757821553,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,NA,NA,NA,136,250,123,NA,NA,NA,NA,NA,NA,49857,47419,43560,43701,44379,45063,NA,NA,NA,27.2780151232525,52.72148294987241,28.236914600550964,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,NA,NA,NA,100,139,123,132,127,NA,NA,NA,NA,26712,24500,22653,22827,23010,22698,NA,NA,NA,37.43635819107517,56.73469387755102,54.29744404714607,57.8262583782363,55.19339417644502,NA,NA,NA,NA,NA,NA,NA
Oregon,NA,NA,NA,41,50,52,47,48,NA,NA,NA,NA,15882,14207,13296,12481,12732,12056,NA,NA,NA,25.815388490114596,35.193918490884776,39.109506618531896,37.65723900328499,37.70028275212064,NA,NA,NA,NA,NA,NA,NA
Pennsylvania,NA,NA,NA,158,217,236,NA,158,NA,NA,NA,NA,46628,42990,38208,37887,38713,39061,NA,NA,NA,33.88521918160762,50.476855082577345,61.767169179229484,NA,40.813163536796424,NA,NA,NA,NA,NA,NA,NA
Rhode Island,NA,NA,NA,3,8,5,NA,NA,NA,NA,NA,NA,2753,2358,2279,2307,2321,2325,NA,NA,NA,10.897203051216854,33.92705682782019,21.93944712593243,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,NA,NA,NA,71,121,90,94,82,NA,NA,NA,NA,18822,17745,16128,16485,16396,16922,NA,NA,NA,37.72181489746042,68.18822203437588,55.80357142857143,57.0215347285411,50.01219809709685,NA,NA,NA,NA,NA,NA,NA
South Dakota,NA,NA,NA,14,11,10,22,NA,NA,NA,NA,NA,3861,3558,3269,3374,3620,3755,NA,NA,NA,36.26003626003626,30.916245081506464,30.59039461609055,65.20450503852993,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee,NA,NA,NA,105,164,191,NA,NA,NA,NA,NA,NA,26697,24961,22920,22480,22595,23235,NA,NA,NA,39.33026182717159,65.702495893594,83.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
