"State","Deaths.2019","Deaths.2020","Deaths.2021","Pct.Chg.Deaths.1920","Pct.Chg.Deaths.2021","Pct.Chg.Deaths.1921","CRate.2019","CRate.2020","CRate.2021","Pct.Chg.Rate.1920","Pct.Chg.Rate.2021","Pct.Chg.Rate.1921","Pop.2019","Pop.2020","Pop.2021","Pct.Chg.Pop.1920","Pct.Chg.Pop.2021","Pct.Chg.Pop.1921"
"Missouri",86,130,101,51.1627906976744,-22.3076923076923,17.4418604651163,30.2795577776213,54.2163650012511,44.0298182135228,79.0526975308762,-18.7886937597038,45.4110345233111,28402,23978,22939,-15.5763678614182,-4.33313871048461,-19.2345609464122
"Montana",8,25,26,212.5,4,225,21.1920529801325,63.7429882712902,104.965684295519,200.78722590515,64.6701655228099,395.306822769479,3775,3922,2477,3.89403973509934,-36.8434472208057,-34.3841059602649
"Nebraska",17,30,NA,76.4705882352941,NA,NA,30.6637806637807,55.6999628666914,NA,81.6474083134925,NA,NA,5544,5386,NA,-2.84992784992785,NA,NA
"Nevada",41,80,NA,95.1219512195122,NA,NA,30.635881342001,71.0164225477142,NA,131.807995842941,NA,NA,13383,11265,NA,-15.8260479713069,NA,NA
"New Hampshire",9,7,8,-22.2222222222222,14.2857142857143,-11.1111111111111,34.1555977229602,28.9375775113683,36.5463682046597,-15.2772036194938,26.2938066958168,6.9996446880869,2635,2419,2189,-8.19734345351044,-9.50806118230674,-16.9259962049336
"New Jersey",40,99,NA,147.5,NA,NA,21.0293885705273,58.3519981138748,NA,177.478339031003,NA,NA,19021,16966,NA,-10.8038483781084,NA,NA
"New Mexico",19,NA,NA,NA,NA,NA,27.5761973875181,NA,NA,NA,NA,NA,6890,NA,NA,NA,NA,NA
"New York",113,121,57,7.07964601769912,-52.8925619834711,-49.5575221238938,24.5572096055634,31.6953059513831,18.1459314911499,29.0672126860966,-42.7488363135423,-26.1075187995344,46015,38176,31412,-17.0357492122134,-17.7179379715004,-31.7353037053135
"North Carolina",119,141,118,18.4873949579832,-16.3120567375887,-0.840336134453782,34.2722193422038,44.9044585987261,40.4220334338175,31.0229085264679,-9.98213831050574,17.9440205789085,34722,31400,29192,-9.56742123149588,-7.03184713375796,-15.9265019296123
"North Dakota",1,7,4,600,-42.8571428571429,300,5.74712643678161,56.4971751412429,26.0078023407022,883.050847457627,-53.9661898569571,352.535760728219,1740,1239,1538,-28.7931034482759,24.1323648103309,-11.6091954022989
"Ohio",136,193,122,41.9117647058824,-36.7875647668394,-10.2941176470588,27.273638824827,41.7776046063597,28.0221420860418,53.1794304188329,-32.925445702131,2.74442022944651,49865,46197,43537,-7.35586082422541,-5.7579496504102,-12.6902637120225
"Oklahoma",100,139,NA,39,NA,NA,37.3231814279849,58.0206202779981,NA,55.4546479108403,NA,NA,26793,23957,NA,-10.5848542529765,NA,NA
