"State","Deaths.2019","Deaths.2020","Deaths.2021","Pct.Chg.Deaths.1920","Pct.Chg.Deaths.2021","Pct.Chg.Deaths.1921","Pop.2019","Pop.2020","Pop.2021","Pct.Chg.Pop.1920","Pct.Chg.Pop.2021","Pct.Chg.Pop.1921","CRate.2019","CRate.2020","CRate.2021","Pct.Chg.Rate.1920","Pct.Chg.Rate.2021","Pct.Chg.Rate.1921"
"Kansas",35,38,37,8.57142857142857,-2.63157894736842,5.71428571428571,10200,9189,8749,-9.91176470588235,-4.78833387746218,-14.2254901960784,34.3137254901961,41.3537925780825,42.2905474911418,20.5167669418404,2.265221288448,23.2467384027562
"Kentucky",63,77,63,22.2222222222222,-18.1818181818182,0,23657,20299,18686,-14.1945301602063,-7.94620424651461,-21.0128080483578,26.630595595384,37.9329030986748,33.7150808091619,42.4410616833889,-11.1191655395872,26.6028042384673
"Louisiana",96,138,140,43.75,1.44927536231884,45.8333333333333,32068,28213,26543,-12.0213296744418,-5.91925708006947,-17.2290133466384,29.9363851814893,48.9136213802148,52.7446030968617,63.3918760854925,7.83213675157674,76.1889512614751
"Maine",8,7,9,-12.5,28.5714285714286,12.5,2323,1834,1666,-21.0503659061558,-9.16030534351145,-28.282393456737,34.4382264313388,38.1679389312977,54.0216086434574,10.8301526717557,41.5366146458584,56.8652460984394
"Maryland",57,55,67,-3.50877192982456,21.8181818181818,17.5438596491228,18769,17038,14963,-9.22265437689808,-12.1786594670736,-20.2781181735841,30.3692258511375,32.2807841295927,44.7771168883245,6.29439251374121,38.7113668260497,47.4424047152567
"Massachusetts",35,42,NA,20,NA,NA,8489,7332,NA,-13.6294027565084,NA,NA,41.2298268347273,57.2831423895254,NA,38.9361702127659,NA,NA
"Michigan",117,248,154,111.965811965812,-37.9032258064516,31.6239316239316,38466,35425,32962,-7.90568294077887,-6.95271700776288,-14.3087401861384,30.416471689284,70.0070571630205,46.7204659911413,130.161663319038,-33.2632053332185,53.6025166508754
"Minnesota",10,18,NA,80,NA,NA,10051,8330,7455,-17.1226743607601,-10.5042016806723,-25.8282757934534,9.94925878022087,21.608643457383,NA,117.188475390156,NA,NA
"Mississippi",74,109,NA,47.2972972972973,NA,NA,19553,18026,NA,-7.80954329258937,NA,NA,37.8458548560323,60.4682125818263,NA,59.774994677358,NA,NA
"Missouri",86,130,101,51.1627906976744,-22.3076923076923,17.4418604651163,28567,24027,22939,-15.8924633318164,-4.5282390643859,-19.7010536633178,30.1046662232646,54.1057976443168,44.0298182135228,79.7256187564184,-18.6227352141298,46.2557926634543
"Montana",8,25,26,212.5,4,225,3772,3937,2477,4.37433722163309,-37.0840741681483,-34.3319194061506,21.2089077412513,63.500127000254,104.965684295519,199.403098806198,65.299959628583,394.913201453371
"Nebraska",17,30,NA,76.4705882352941,NA,NA,5537,5402,NA,-2.4381433989525,NA,NA,30.7025465053278,55.5349870418364,NA,80.8807195592046,NA,NA
"Nevada",41,80,NA,95.1219512195122,NA,NA,13414,11231,NA,-16.274042045624,NA,NA,30.5650812583868,71.2314130531564,NA,133.048335291473,NA,NA
"New Hampshire",9,7,8,-22.2222222222222,14.2857142857143,-11.1111111111111,2636,2426,2189,-7.96661608497724,-9.76916735366859,-16.9575113808801,34.1426403641882,28.8540807914262,36.5463682046597,-15.4896033708894,26.6592703778633,7.04025176386985
"New Jersey",40,87,NA,117.5,NA,NA,19050,17132,NA,-10.0682414698163,NA,NA,20.997375328084,50.7821620359561,NA,141.850046696241,NA,NA
"New Mexico",19,NA,NA,NA,NA,NA,6902,NA,NA,NA,NA,NA,27.5282526803825,NA,NA,NA,NA,NA
"New York",113,121,NA,7.07964601769912,NA,NA,46136,38390,NA,-16.7894919368823,NA,NA,24.4928038841685,31.5186246418338,NA,28.6852448208535,NA,NA
"North Carolina",119,141,118,18.4873949579832,-16.3120567375887,-0.840336134453782,34737,31506,29192,-9.30132135763019,-7.34463276836158,-15.9628062296687,34.2574200420301,44.7533803085127,40.4220334338175,30.6385018299836,-9.67825635703165,17.9949727218923
"North Dakota",1,7,4,600,-42.8571428571429,300,1736,1247,1538,-28.168202764977,23.336006415397,-11.4055299539171,5.76036866359447,56.1347233360064,26.0078023407022,874.498797113071,-53.6689578302062,351.49544863459
"Ohio",136,NA,NA,NA,NA,NA,49872,NA,NA,NA,NA,NA,27.2698107154315,NA,NA,NA,NA,NA
"Oklahoma",100,139,NA,39,NA,NA,26869,24039,NA,-10.5325840187577,NA,NA,37.217611373702,57.8227047714131,NA,55.3638254503099,NA,NA
"Oregon",41,50,52,21.9512195121951,4,26.8292682926829,15902,14055,13433,-11.614891208653,-4.42547136250445,-15.5263488869325,25.7829203873727,35.5745286374956,38.7106379810913,37.9771108276718,8.81560336484775,50.1406256525157
"Pennsylvania",158,217,236,37.3417721518987,8.75576036866359,49.3670886075949,46747,42101,38262,-9.93860568592637,-9.11854825301062,-18.1508973837893,33.7989603610927,51.5427187002684,61.6799958183054,52.4979412076865,19.6677190758744,82.4908078809064
"Rhode Island",3,8,NA,166.666666666667,NA,NA,2755,2320,NA,-15.7894736842105,NA,NA,10.8892921960073,34.4827586206897,NA,216.666666666667,NA,NA
"South Carolina",71,121,90,70.4225352112676,-25.6198347107438,26.7605633802817,18856,17318,16069,-8.1565549427238,-7.21214920891558,-14.780441238863,37.6537971998303,69.8694999422566,56.0084635011513,85.5576466072099,-19.8384652138068,48.7458574334801
"South Dakota",14,11,10,-21.4285714285714,-9.09090909090909,-28.5714285714286,3870,3478,3252,-10.1291989664083,-6.49798734905118,-15.968992248062,36.1757105943152,31.627372052904,30.750307503075,-12.5729072537583,-2.77311864027731,-14.9973642593569
"Tennessee",105,164,NA,56.1904761904762,-49.390243902439,-20.952380952381,26722,24566,22994,-8.06825836389492,-6.39908817064235,-13.9510515679964,39.2934660579298,66.7589351135716,36.0963729668609,69.8983108671296,-45.9302744936643,-8.13644967424213
"Texas",447,700,583,56.5995525727069,-16.7142857142857,30.4250559284116,161625,145579,133024,-9.92791956689869,-8.6241834330501,-17.6959010054138,27.6566125290023,48.0838582487859,43.8266778927111,73.8602592720362,-8.85365798652874,58.467266541598
"Utah",21,36,NA,71.4285714285714,NA,NA,6704,5993,NA,-10.6056085918854,NA,NA,31.3245823389021,60.0700817620557,NA,91.7665848251531,NA,NA
"Vermont",4,2,1,-50,-50,-75,1637,1417,1238,-13.4392180818571,-12.6323218066337,-24.3738546120953,24.4349419670128,14.1143260409315,8.07754442649435,-42.2371206774877,-42.7705977382875,-66.9426494345719
"Virginia",90,128,NA,42.2222222222222,NA,NA,36439,33450,NA,-8.20274980103735,NA,NA,24.6988117127254,38.2660687593423,NA,54.9308088357416,NA,NA
"Washington",37,51,NA,37.8378378378378,NA,NA,19281,16703,NA,-13.3706757948239,NA,NA,19.1898760437737,30.5334371071065,NA,59.1122164492218,NA,NA
"West Virginia",28,46,NA,64.2857142857143,-47.8260869565217,-14.2857142857143,6785,4818,3905,-28.9904200442152,-18.9497716894977,-42.4465733235077,41.2675018422992,95.475300954753,61.4596670934699,131.357113206428,-35.6276791181874,48.9299432961405
"Wisconsin",51,70,NA,37.2549019607843,NA,NA,24022,21801,NA,-9.24569144950462,NA,NA,21.2305386728832,32.108618870694,NA,51.2378906885904,NA,NA
"Wyoming",10,5,3,-50,-40,-70,2516,2001,1880,-20.4689984101749,-6.04697651174413,-25.2782193958665,39.7456279809221,24.9875062468766,15.9574468085106,-37.1314342828586,-36.1382978723404,-59.8510638297872
