State,Date,Sex.Group,Age.Group,Number,Percent,Source
Florida,2010-11-01,Male,40-44,11132,NA,UCLA Records
Florida,2010-11-01,Male,45-49,10701,NA,UCLA Records
Florida,2010-11-01,Male,50-54,8281,NA,UCLA Records
Florida,2010-11-01,Male,55-59,4875,NA,UCLA Records
Florida,2010-11-01,Male,60-64,2487,NA,UCLA Records
Florida,2010-11-01,Male,65+,2089,NA,UCLA Records
Florida,2010-12-01,Female,0-20,81,NA,UCLA Records
Florida,2010-12-01,Female,21-24,674,NA,UCLA Records
Florida,2010-12-01,Female,25-29,1113,NA,UCLA Records
Florida,2010-12-01,Female,30-34,1232,NA,UCLA Records
Florida,2010-12-01,Female,35-39,940,NA,UCLA Records
Florida,2010-12-01,Female,40-44,1000,NA,UCLA Records
Florida,2010-12-01,Female,45-49,897,NA,UCLA Records
Florida,2010-12-01,Female,50-54,615,NA,UCLA Records
Florida,2010-12-01,Female,55-59,288,NA,UCLA Records
Florida,2010-12-01,Female,60-64,117,NA,UCLA Records
Florida,2010-12-01,Female,65+,77,NA,UCLA Records
Florida,2010-12-01,Male,0-20,1713,NA,UCLA Records
Florida,2010-12-01,Male,21-24,8929,NA,UCLA Records
Florida,2010-12-01,Male,25-29,13699,NA,UCLA Records
Florida,2010-12-01,Male,30-34,13734,NA,UCLA Records
Florida,2010-12-01,Male,35-39,11468,NA,UCLA Records
Florida,2010-12-01,Male,40-44,11138,NA,UCLA Records
Florida,2010-12-01,Male,45-49,10657,NA,UCLA Records
Florida,2010-12-01,Male,50-54,8257,NA,UCLA Records
Florida,2010-12-01,Male,55-59,4916,NA,UCLA Records
Florida,2010-12-01,Male,60-64,2502,NA,UCLA Records
Florida,2010-12-01,Male,65+,2108,NA,UCLA Records
Florida,2011-01-01,Female,0-20,81,NA,UCLA Records
Florida,2011-01-01,Female,21-24,676,NA,UCLA Records
Florida,2011-01-01,Female,25-29,1111,NA,UCLA Records
Florida,2011-01-01,Female,30-34,1224,NA,UCLA Records
Florida,2011-01-01,Female,35-39,947,NA,UCLA Records
Florida,2011-01-01,Female,40-44,985,NA,UCLA Records
Florida,2011-01-01,Female,45-49,902,NA,UCLA Records
Florida,2011-01-01,Female,50-54,615,NA,UCLA Records
Florida,2011-01-01,Female,55-59,288,NA,UCLA Records
Florida,2011-01-01,Female,60-64,119,NA,UCLA Records
Florida,2011-01-01,Female,65+,77,NA,UCLA Records
Florida,2011-01-01,Male,0-20,1669,NA,UCLA Records
Florida,2011-01-01,Male,21-24,8904,NA,UCLA Records
Florida,2011-01-01,Male,25-29,13637,NA,UCLA Records
Florida,2011-01-01,Male,30-34,13663,NA,UCLA Records
Florida,2011-01-01,Male,35-39,11405,NA,UCLA Records
Florida,2011-01-01,Male,40-44,11063,NA,UCLA Records
Florida,2011-01-01,Male,45-49,10592,NA,UCLA Records
Florida,2011-01-01,Male,50-54,8280,NA,UCLA Records
Florida,2011-01-01,Male,55-59,4920,NA,UCLA Records
Florida,2011-01-01,Male,60-64,2515,NA,UCLA Records
Florida,2011-01-01,Male,65+,2136,NA,UCLA Records
Florida,2011-02-01,Female,0-20,77,NA,UCLA Records
Florida,2011-02-01,Female,21-24,670,NA,UCLA Records
Florida,2011-02-01,Female,25-29,1096,NA,UCLA Records
Florida,2011-02-01,Female,30-34,1220,NA,UCLA Records
Florida,2011-02-01,Female,35-39,954,NA,UCLA Records
Florida,2011-02-01,Female,40-44,967,NA,UCLA Records
Florida,2011-02-01,Female,45-49,893,NA,UCLA Records
Florida,2011-02-01,Female,50-54,607,NA,UCLA Records
Florida,2011-02-01,Female,55-59,300,NA,UCLA Records
Florida,2011-02-01,Female,60-64,124,NA,UCLA Records
Florida,2011-02-01,Female,65+,78,NA,UCLA Records
Florida,2011-02-01,Male,0-20,1640,NA,UCLA Records
Florida,2011-02-01,Male,21-24,8843,NA,UCLA Records
Florida,2011-02-01,Male,25-29,13600,NA,UCLA Records
Florida,2011-02-01,Male,30-34,13682,NA,UCLA Records
Florida,2011-02-01,Male,35-39,11362,NA,UCLA Records
Florida,2011-02-01,Male,40-44,11023,NA,UCLA Records
Florida,2011-02-01,Male,45-49,10556,NA,UCLA Records
Florida,2011-02-01,Male,50-54,8358,NA,UCLA Records
Florida,2011-02-01,Male,55-59,4940,NA,UCLA Records
Florida,2011-02-01,Male,60-64,2538,NA,UCLA Records
Florida,2011-02-01,Male,65+,2134,NA,UCLA Records
Florida,2011-03-01,Female,0-20,74,NA,UCLA Records
Florida,2011-03-01,Female,21-24,671,NA,UCLA Records
Florida,2011-03-01,Female,25-29,1113,NA,UCLA Records
Florida,2011-03-01,Female,30-34,1223,NA,UCLA Records
Florida,2011-03-01,Female,35-39,945,NA,UCLA Records
Florida,2011-03-01,Female,40-44,962,NA,UCLA Records
Florida,2011-03-01,Female,45-49,891,NA,UCLA Records
Florida,2011-03-01,Female,50-54,612,NA,UCLA Records
Florida,2011-03-01,Female,55-59,303,NA,UCLA Records
Florida,2011-03-01,Female,60-64,127,NA,UCLA Records
Florida,2011-03-01,Female,65+,80,NA,UCLA Records
Florida,2011-03-01,Male,0-20,1611,NA,UCLA Records
Florida,2011-03-01,Male,21-24,8825,NA,UCLA Records
Florida,2011-03-01,Male,25-29,13630,NA,UCLA Records
Florida,2011-03-01,Male,30-34,13667,NA,UCLA Records
Florida,2011-03-01,Male,35-39,11356,NA,UCLA Records
Florida,2011-03-01,Male,40-44,11022,NA,UCLA Records
Florida,2011-03-01,Male,45-49,10558,NA,UCLA Records
Florida,2011-03-01,Male,50-54,8408,NA,UCLA Records
Florida,2011-03-01,Male,55-59,4940,NA,UCLA Records
Florida,2011-03-01,Male,60-64,2555,NA,UCLA Records
Florida,2011-03-01,Male,65+,2155,NA,UCLA Records
Florida,2011-04-01,Female,0-20,78,NA,UCLA Records
Florida,2011-04-01,Female,21-24,668,NA,UCLA Records
Florida,2011-04-01,Female,25-29,1137,NA,UCLA Records
Florida,2011-04-01,Female,30-34,1222,NA,UCLA Records
Florida,2011-04-01,Female,35-39,971,NA,UCLA Records
Florida,2011-04-01,Female,40-44,968,NA,UCLA Records
Florida,2011-04-01,Female,45-49,911,NA,UCLA Records
Florida,2011-04-01,Female,50-54,608,NA,UCLA Records
Florida,2011-04-01,Female,55-59,305,NA,UCLA Records
Florida,2011-04-01,Female,60-64,128,NA,UCLA Records
Florida,2011-04-01,Female,65+,81,NA,UCLA Records
Florida,2011-04-01,Male,0-20,1623,NA,UCLA Records
Florida,2011-04-01,Male,21-24,8884,NA,UCLA Records
Florida,2011-04-01,Male,25-29,13686,NA,UCLA Records
Florida,2011-04-01,Male,30-34,13670,NA,UCLA Records
Florida,2011-04-01,Male,35-39,11416,NA,UCLA Records
Florida,2011-04-01,Male,40-44,11003,NA,UCLA Records
Florida,2011-04-01,Male,45-49,10570,NA,UCLA Records
Florida,2011-04-01,Male,50-54,8457,NA,UCLA Records
Florida,2011-04-01,Male,55-59,4995,NA,UCLA Records
Florida,2011-04-01,Male,60-64,2562,NA,UCLA Records
Florida,2011-04-01,Male,65+,2188,NA,UCLA Records
Florida,2011-05-01,Female,0-20,77,NA,UCLA Records
Florida,2011-05-01,Female,21-24,665,NA,UCLA Records
Florida,2011-05-01,Female,25-29,1143,NA,UCLA Records
Florida,2011-05-01,Female,30-34,1191,NA,UCLA Records
Florida,2011-05-01,Female,35-39,975,NA,UCLA Records
Florida,2011-05-01,Female,40-44,956,NA,UCLA Records
Florida,2011-05-01,Female,45-49,901,NA,UCLA Records
Florida,2011-05-01,Female,50-54,602,NA,UCLA Records
Florida,2011-05-01,Female,55-59,313,NA,UCLA Records
Florida,2011-05-01,Female,60-64,127,NA,UCLA Records
Florida,2011-05-01,Female,65+,82,NA,UCLA Records
Florida,2011-05-01,Male,0-20,1616,NA,UCLA Records
Florida,2011-05-01,Male,21-24,8822,NA,UCLA Records
Florida,2011-05-01,Male,25-29,13664,NA,UCLA Records
Florida,2011-05-01,Male,30-34,13598,NA,UCLA Records
Florida,2011-05-01,Male,35-39,11412,NA,UCLA Records
Florida,2011-05-01,Male,40-44,10983,NA,UCLA Records
Florida,2011-05-01,Male,45-49,10489,NA,UCLA Records
Florida,2011-05-01,Male,50-54,8420,NA,UCLA Records
Florida,2011-05-01,Male,55-59,5057,NA,UCLA Records
Florida,2011-05-01,Male,60-64,2568,NA,UCLA Records
Florida,2011-05-01,Male,65+,2213,NA,UCLA Records
Florida,2011-06-01,Female,0-20,71,NA,UCLA Records
Florida,2011-06-01,Female,21-24,665,NA,UCLA Records
Florida,2011-06-01,Female,25-29,1123,NA,UCLA Records
Florida,2011-06-01,Female,30-34,1199,NA,UCLA Records
Florida,2011-06-01,Female,35-39,991,NA,UCLA Records
Florida,2011-06-01,Female,40-44,954,NA,UCLA Records
Florida,2011-06-01,Female,45-49,881,NA,UCLA Records
Florida,2011-06-01,Female,50-54,605,NA,UCLA Records
Florida,2011-06-01,Female,55-59,312,NA,UCLA Records
Florida,2011-06-01,Female,60-64,131,NA,UCLA Records
Florida,2011-06-01,Female,65+,79,NA,UCLA Records
Florida,2011-06-01,Male,0-20,1631,NA,UCLA Records
Florida,2011-06-01,Male,21-24,8838,NA,UCLA Records
Florida,2011-06-01,Male,25-29,13679,NA,UCLA Records
Florida,2011-06-01,Male,30-34,13603,NA,UCLA Records
Florida,2011-06-01,Male,35-39,11429,NA,UCLA Records
Florida,2011-06-01,Male,40-44,10979,NA,UCLA Records
Florida,2011-06-01,Male,45-49,10472,NA,UCLA Records
Florida,2011-06-01,Male,50-54,8462,NA,UCLA Records
Florida,2011-06-01,Male,55-59,5064,NA,UCLA Records
Florida,2011-06-01,Male,60-64,2614,NA,UCLA Records
Florida,2011-06-01,Male,65+,2231,NA,UCLA Records
Florida,2011-07-01,Female,0-20,74,NA,UCLA Records
Florida,2011-07-01,Female,21-24,666,NA,UCLA Records
Florida,2011-07-01,Female,25-29,1122,NA,UCLA Records
Florida,2011-07-01,Female,30-34,1197,NA,UCLA Records
Florida,2011-07-01,Female,35-39,992,NA,UCLA Records
Florida,2011-07-01,Female,40-44,958,NA,UCLA Records
Florida,2011-07-01,Female,45-49,868,NA,UCLA Records
Florida,2011-07-01,Female,50-54,602,NA,UCLA Records
Florida,2011-07-01,Female,55-59,308,NA,UCLA Records
Florida,2011-07-01,Female,60-64,134,NA,UCLA Records
Florida,2011-07-01,Female,65+,79,NA,UCLA Records
Florida,2011-07-01,Male,0-20,1621,NA,UCLA Records
Florida,2011-07-01,Male,21-24,8858,NA,UCLA Records
Florida,2011-07-01,Male,25-29,13664,NA,UCLA Records
Florida,2011-07-01,Male,30-34,13655,NA,UCLA Records
Florida,2011-07-01,Male,35-39,11449,NA,UCLA Records
Florida,2011-07-01,Male,40-44,10961,NA,UCLA Records
Florida,2011-07-01,Male,45-49,10430,NA,UCLA Records
Florida,2011-07-01,Male,50-54,8520,NA,UCLA Records
Florida,2011-07-01,Male,55-59,5101,NA,UCLA Records
Florida,2011-07-01,Male,60-64,2620,NA,UCLA Records
Florida,2011-07-01,Male,65+,2258,NA,UCLA Records
Florida,2011-08-01,Female,0-20,76,NA,UCLA Records
Florida,2011-08-01,Female,21-24,640,NA,UCLA Records
Florida,2011-08-01,Female,25-29,1123,NA,UCLA Records
Florida,2011-08-01,Female,30-34,1184,NA,UCLA Records
Florida,2011-08-01,Female,35-39,968,NA,UCLA Records
Florida,2011-08-01,Female,40-44,929,NA,UCLA Records
Florida,2011-08-01,Female,45-49,873,NA,UCLA Records
Florida,2011-08-01,Female,50-54,596,NA,UCLA Records
Florida,2011-08-01,Female,55-59,310,NA,UCLA Records
Florida,2011-08-01,Female,60-64,134,NA,UCLA Records
Florida,2011-08-01,Female,65+,79,NA,UCLA Records
Florida,2011-08-01,Male,0-20,1601,NA,UCLA Records
Florida,2011-08-01,Male,21-24,8871,NA,UCLA Records
Florida,2011-08-01,Male,25-29,13572,NA,UCLA Records
Florida,2011-08-01,Male,30-34,13584,NA,UCLA Records
Florida,2011-08-01,Male,35-39,11362,NA,UCLA Records
Florida,2011-08-01,Male,40-44,10901,NA,UCLA Records
Florida,2011-08-01,Male,45-49,10378,NA,UCLA Records
Florida,2011-08-01,Male,50-54,8485,NA,UCLA Records
Florida,2011-08-01,Male,55-59,5133,NA,UCLA Records
Florida,2011-08-01,Male,60-64,2643,NA,UCLA Records
Florida,2011-08-01,Male,65+,2276,NA,UCLA Records
Florida,2011-09-01,Female,0-20,72,NA,UCLA Records
Florida,2011-09-01,Female,21-24,644,NA,UCLA Records
Florida,2011-09-01,Female,25-29,1112,NA,UCLA Records
Florida,2011-09-01,Female,30-34,1192,NA,UCLA Records
Florida,2011-09-01,Female,35-39,974,NA,UCLA Records
Florida,2011-09-01,Female,40-44,928,NA,UCLA Records
Florida,2011-09-01,Female,45-49,876,NA,UCLA Records
Florida,2011-09-01,Female,50-54,600,NA,UCLA Records
Florida,2011-09-01,Female,55-59,312,NA,UCLA Records
Florida,2011-09-01,Female,60-64,136,NA,UCLA Records
Florida,2011-09-01,Female,65+,82,NA,UCLA Records
Florida,2011-09-01,Male,0-20,1571,NA,UCLA Records
Florida,2011-09-01,Male,21-24,8817,NA,UCLA Records
Florida,2011-09-01,Male,25-29,13528,NA,UCLA Records
Florida,2011-09-01,Male,30-34,13592,NA,UCLA Records
Florida,2011-09-01,Male,35-39,11397,NA,UCLA Records
