State,Year,Month,Facility,Total.Deaths
Oregon,2018,February,SRCI,0
Oregon,2018,March,SRCI,1
Oregon,2018,April,SRCI,0
Oregon,2018,June,SRCI,0
Oregon,2018,August,SRCI,1
Oregon,2018,September,SRCI,0
Oregon,2018,October,SRCI,0
Oregon,2018,November,SRCI,1
Oregon,2018,December,SRCI,1
Oregon,2019,January,SRCI,1
Oregon,2019,February,SRCI,0
Oregon,2019,March,SRCI,0
Oregon,2019,April,SRCI,2
Oregon,2019,May,SRCI,0
Oregon,2019,June,SRCI,0
Oregon,2019,July,SRCI,1
Oregon,2019,August,SRCI,0
Oregon,2019,September,SRCI,0
Oregon,2019,October,SRCI,2
Oregon,2019,November,SRCI,0
Oregon,2019,December,SRCI,1
Oregon,2020,January,SRCI,2
Oregon,2020,February,SRCI,0
Oregon,2020,March,SRCI,1
Oregon,2020,April,SRCI,1
Oregon,2020,May,SRCI,1
Oregon,2020,June,SRCI,2
Oregon,2020,July,SRCI,1
Oregon,2020,August,SRCI,2
Oregon,2020,September,SRCI,4
Oregon,2020,October,SRCI,6
Oregon,2020,November,SRCI,1
Oregon,2020,December,SRCI,0
Oregon,2015,January,CCIC,0
Oregon,2015,February,CCIC,0
Oregon,2015,March,CCIC,0
Oregon,2015,April,CCIC,0
Oregon,2015,May,CCIC,0
Oregon,2015,June,CCIC,0
Oregon,2015,July,CCIC,0
Oregon,2015,August,CCIC,0
Oregon,2015,September,CCIC,1
Oregon,2015,October,CCIC,0
Oregon,2015,November,CCIC,0
Oregon,2015,December,CCIC,0
Oregon,2016,January,CCIC,0
Oregon,2016,February,CCIC,0
Oregon,2016,March,CCIC,0
Oregon,2016,April,CCIC,0
Oregon,2016,May,CCIC,0
Oregon,2016,June,CCIC,0
Oregon,2016,July,CCIC,0
Oregon,2016,August,CCIC,0
Oregon,2016,September,CCIC,0
Oregon,2016,October,CCIC,0
Oregon,2016,November,CCIC,0
Oregon,2016,December,CCIC,0
Oregon,2017,January,CCIC,0
Oregon,2017,February,CCIC,0
Oregon,2017,March,CCIC,0
Oregon,2017,April,CCIC,0
Oregon,2017,May,CCIC,0
Oregon,2017,June,CCIC,0
Oregon,2017,July,CCIC,0
Oregon,2017,August,CCIC,0
Oregon,2017,September,CCIC,0
Oregon,2017,October,CCIC,0
Oregon,2017,November,CCIC,1
Oregon,2017,December,CCIC,0
Oregon,2018,January,CCIC,0
Oregon,2018,February,CCIC,0
Oregon,2018,March,CCIC,0
Oregon,2018,April,CCIC,0
Oregon,2018,June,CCIC,0
Oregon,2018,August,CCIC,0
Oregon,2018,September,CCIC,0
Oregon,2018,October,CCIC,0
Oregon,2018,November,CCIC,0
Oregon,2018,December,CCIC,0
Oregon,2019,January,CCIC,0
Oregon,2019,February,CCIC,0
Oregon,2019,March,CCIC,0
Oregon,2019,April,CCIC,0
Oregon,2019,May,CCIC,0
Oregon,2019,June,CCIC,0
Oregon,2019,July,CCIC,0
Oregon,2019,August,CCIC,0
Oregon,2019,September,CCIC,0
Oregon,2019,October,CCIC,0
Oregon,2019,November,CCIC,0
Oregon,2019,December,CCIC,0
Oregon,2020,January,CCIC,0
Oregon,2020,February,CCIC,0
Oregon,2020,March,CCIC,0
Oregon,2020,April,CCIC,0
Oregon,2020,May,CCIC,0
Oregon,2020,June,CCIC,0
Oregon,2020,July,CCIC,0
Oregon,2020,August,CCIC,0
Oregon,2020,September,CCIC,0
Oregon,2020,October,CCIC,0
Oregon,2020,November,CCIC,0
Oregon,2020,December,CCIC,0
Oregon,2015,January,CCCF,0
Oregon,2015,February,CCCF,0
Oregon,2015,March,CCCF,0
Oregon,2015,April,CCCF,0
Oregon,2015,May,CCCF,0
Oregon,2015,June,CCCF,0
Oregon,2015,July,CCCF,0
Oregon,2015,August,CCCF,0
Oregon,2015,September,CCCF,0
Oregon,2015,October,CCCF,0
Oregon,2015,November,CCCF,0
Oregon,2015,December,CCCF,1
Oregon,2016,January,CCCF,0
Oregon,2016,February,CCCF,0
Oregon,2016,March,CCCF,0
Oregon,2016,April,CCCF,0
Oregon,2016,May,CCCF,0
Oregon,2016,June,CCCF,1
Oregon,2016,July,CCCF,0
Oregon,2016,August,CCCF,0
Oregon,2016,September,CCCF,0
Oregon,2016,October,CCCF,0
Oregon,2016,November,CCCF,0
Oregon,2016,December,CCCF,0
Oregon,2017,January,CCCF,1
Oregon,2017,February,CCCF,0
Oregon,2017,March,CCCF,0
Oregon,2017,April,CCCF,0
Oregon,2017,May,CCCF,0
Oregon,2017,June,CCCF,0
Oregon,2017,July,CCCF,0
Oregon,2017,August,CCCF,0
Oregon,2017,September,CCCF,0
Oregon,2017,October,CCCF,0
Oregon,2017,November,CCCF,0
Oregon,2017,December,CCCF,0
Oregon,2018,January,CCCF,1
Oregon,2018,February,CCCF,0
Oregon,2018,March,CCCF,0
Oregon,2018,April,CCCF,0
Oregon,2018,June,CCCF,0
Oregon,2018,August,CCCF,0
Oregon,2018,September,CCCF,1
Oregon,2018,October,CCCF,1
Oregon,2018,November,CCCF,0
Oregon,2018,December,CCCF,0
Oregon,2019,January,CCCF,0
Oregon,2019,February,CCCF,0
Oregon,2019,March,CCCF,1
Oregon,2019,April,CCCF,1
Oregon,2019,May,CCCF,0
Oregon,2019,June,CCCF,0
Oregon,2019,July,CCCF,0
